RegionID,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
61639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851600,8.25E+05,776500,761800,737800,8.63E+05,827600,878900,873900,890400,909600,816100,784200,699400,719100,733500,850400,841700,8.86E+05,843200,852300,866600,951600,9.41E+05,943800,893600,916500,973200,913900,897300,847300,846800,871600,874400,853500,859200,882700,9.30E+05,9.96E+05,1019800,1103700,1043600,1007700,923800,941700,922700,903800,912100,912100,984900,978400,951600,941100,1006800,1084700,1132200,1045300,941800,919600,914700,1081500,1047200,1225500,1018700,1035100
84654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401700,382200,384200,391200,407300,383400,376800,380300,3.86E+05,382800,372400,377200,365300,354100,343100,343800,312600,316900,300700,316300,312200,323500,326300,322400,332600,351500,341700,323100,311600,315900,331800,313900,319300,3.15E+05,316900,308900,303300,308400,318300,339500,353900,356900,359100,363400,372100,330800,327700,320800,366500,390300,391200,398100,391600,413300,434800,445300,421600,382400,375900,401100,419800
61637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969500,964800,9.14E+05,944700,942600,994900,1058600,1078200,1020600,1042800,1091300,1131800,1100100,1082900,1074900,1073400,1207800,1333400,1249500,1124400,1003800,985400,937700,854800,8.55E+05,896600,943100,9.65E+05,1066200,1122700,1244400,1101200,1.11E+06,972700,1097100,1061300
91982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264200,257200,255400,255600,2.63E+05,2.63E+05,261500,254100,249300,251600,258500,2.66E+05,266700,268700,273900,281800,2.79E+05,2.73E+05,272600,2.76E+05,280400,276100,278300,2.79E+05,280800,277900,279900,283800,290400,289700,288100,291500,292600,301900,300100,3.13E+05,310800,312900,301900,297200,300100,303800,309900,305800,306400,304200,304200,303700,307800,311700,312300,3.15E+05,3.13E+05,323300,332100,338100,339400,328700,326200,314200,313600,314600,316200,313300,315300,319300,323900,3.35E+05,337700,341700,345300,343600,346400,327800,326500,311600,313200,311600,330300,335500,345900,332600,332900,325100,323100,
84616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504900,370600,3.89E+05,392700,399200,398700,373900,370300,365200,371200,359900,390300,404100,436700,420200,380100,395100,432700,504600,522400,505900,526300,527500,550200,5.47E+05,516900,500300,4.89E+05,499100
91940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145900,148100,147100,147700,148400,151500,152200,152200,153900,154800,152300,150700,154100,160700,162400,1.59E+05,157900,163100,170800,173100,172500,169200,166700,165900,168100,168600,169700,163200,163900,161800,168500,170400,173900,174900,176600,1.77E+05,176100,174700,172700,176600,178700,180800,178400,178600,177700,179300,183100,186700,190900,191400,190200,186500,184200,185300,188700,190300,192100
93144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112400,113100,113300,1.22E+05,1.23E+05,127500,121400,128500,123800,124900,117600,123700,118700,119500,115700,120100,119900,118900,118100,117500,117100,119900,1.24E+05,121600,121500,118200,117200,120400,120100,116400,1.06E+05,108400,113900,121700,119600,120900,117600,119400,118700,118700,117700,117400,120600,117200,118300,116700,120100,120200,121400,121300,123300,122300,1.21E+05,1.18E+05,1.20E+05,123700,1.21E+05,1.17E+05,114200,119600,118300,117400,1.18E+05,123700,128100,128100,125800,124300,125300,129400,129300,127200,126300,128500,128600,1.27E+05,131900,133800,133300,127900,1.28E+05,127400,127200,127500,130700,131600,130200,129300,129700,128100,127900,128300,134100,139700,140200,140300,136300,
61616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450900,429500,407900,436100,450200,465600,449600,488200,524900,551400,536500,5.47E+05,535800,572700,546800,542900,5.19E+05,5.58E+05,552900,555200,546500,5.56E+05,5.74E+05,581900,620400,593500,616400,669300,688700,655900,574300,5.91E+05,583600,648800,636900,656400,654500,686200,682900,670400,723200,782900,834900,820200,814600,782200,770100,751700,740600,751800,794600,799200,834300,758300,769200,707100,7.96E+05,777700,862900,845400,850700,809500,815600,850700,838500,900200,938200,960700,8.70E+05,833300,820600,868600,795800,784500,728300,840400,827500,802900,700600,663500,714400,798200,894400
84640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237800,240700,239500,230200,236100,226900,227500,224800,242700,256600,262300,248400,231600,224200,217900,201300,1.82E+05,184200,206200,228400,225900,228400,232700,232300,228300,231900,236400,246100,248500,260600,253200,246800,2.34E+05,2.32E+05,235700,236300,234500,231200,219100,220400,215200,238200,219200,2.05E+05,218400,246400,269800,2.52E+05,237300,237800,245300,239100,249700,232700,251500,2.46E+05,270700,290400,2.92E+05,281900,272500
92593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181300,181500,1.80E+05,183200,184800,183300,183700,184900,190300,1.92E+05,195800,202400,208600,215900,212600,209900,204600,204300,205700,205800,210100,206600,206700,205400,213800,218500,222200,222400,224100,2.27E+05,232100,2.42E+05,242300,240600,234900,234800,234500,231700,233300,240100,241800,2.43E+05,240300,242700,239900,238900,239400,244300,246800,249100,2.48E+05,250700,2.45E+05,249700,2.51E+05,2.57E+05,257800,254600,254700,257400,262400,2.63E+05,
74101,133300,1.36E+05,1.34E+05,1.34E+05,132500,132700,131400,1.31E+05,127500,124100,121900,125800,132100,132400,128800,125700,127800,128700,126700,126800,1.23E+05,124700,120400,123100,1.23E+05,122500,122300,121800,121300,117400,116700,1.12E+05,110900,110200,110900,114200,109300,105600,101100,102100,104900,103600,102900,100500,101200,1.06E+05,110600,113200,106300,103800,1.04E+05,105100,103800,98900,105700,112500,114500,107200,105200,108900,114800,120800,121800,1.25E+05,123300,119800,117500,118800,1.25E+05,130100,132500,134200,133200,131500,130400,129500,1.28E+05,128800,1.30E+05,131500,132700,133400,136300,145300,149200,147900,141800,141600,146800,148200,148400,146400,147200,148300,151600,151600,153800,154600,1.59E+05,161900,163100,162800,165700,168500,172800,173600,173400,175700,175800,1.81E+05,178800,179300,179800,185600,191300,195400,195900,196400,192600,195300,1.98E+05,205700,212500,215900,220700,2.16E+05,217400,215900,214600,214800,209900,215300,216700,222900,224700,226600,228300
71831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183600,187400,1.86E+05,187600,189500,1.93E+05,197400,204600,207100,210400,2.12E+05,213400,2.16E+05,219900,228300,228100,225400,226200,2.29E+05,231700,233100,233400,231900,231300,234200,237800,236200,235500,239100,241600,238700,2.33E+05,229400,230900,230100,234100,236100,241200,238600,237300,2.35E+05,233200,234600,233600,235700,237500,241600,242200,235900,230400,238500,2.42E+05,244100,233100,234100,2.36E+05,238900,237300,237700,2.36E+05,237700,235300,238100,242900,248700,250800,248500,254500,252700,253500,246100,248400,253100,2.52E+05,259800,258900,266400,265200,264600,
84646,342900,334600,321400,335300,326400,3.29E+05,326300,315600,301400,288900,310800,326200,321400,3.17E+05,298800,3.02E+05,3.08E+05,308400,312100,292700,2.95E+05,285300,2.84E+05,283100,272300,271600,269700,284900,291900,282800,284300,294300,3.23E+05,3.26E+05,333700,336800,314800,301400,2.70E+05,281700,264500,271900,252500,260500,256300,272400,277500,259500,244700,228500,244100,271700,2.97E+05,304900,311700,299700,310600,284200,299800,273200,302600,300400,326400,321800,3.16E+05,310700,306900,311300,313400,318600,3.17E+05,3.49E+05,351300,346900,317500,325900,338400,348600,345700,348800,338200,329800,3.22E+05,353800,357400,362300,335200,3.32E+05,330200,3.23E+05,325900,325800,340700,338900,353600,350900,356300,346800,337800,3.36E+05,339300,345600,359700,357200,360100,352500,370300,373400,368700,349800,353100,363300,373800,377700,3.73E+05,3.56E+05,353600,371500,394300,387600,377200,383200,394700,397200,390600,398500,403700,414700,433400,443400,4.53E+05,437500,414900,392900,374100,387600,391800
96107,499400,442800,385900,367500,414500,409100,4.02E+05,376500,386200,3.95E+05,375300,350500,332900,316600,3.05E+05,3.04E+05,308300,322600,320500,315300,311300,335600,340100,341400,340700,347700,367600,3.42E+05,341200,332200,335300,337100,321300,330900,334500,358900,347100,355900,323200,305700,289200,295900,315400,313700,326300,325300,317900,287100,290700,297100,310200,297400,313900,318300,3.34E+05,324400,354300,354500,366900,361200,3.80E+05,366400,357200,369600,387800,422200,419600,405900,401500,400900,456600,454100,451400,4.24E+05,4.29E+05,435800,450300,481500,493200,489700,456600,481400,472900,487400,518800,528800,531900,481600,483600,479600,483800,485300,500300,5.13E+05,524500,525800,5.21E+05,512200,493600,506300,519800,547900,542900,550400,558900,569900,609100,604300,607600,576300,580700,568800,606800,603800,611200,572500,570800,568200,586800,608300,629800,629200,626100,628500,654400,684200,686600,6.59E+05,644200,649700,704800,745500,7.61E+05,690300,630200,600200,633800
74242,1.45E+05,150200,149900,151600,151100,149100,144500,145400,137700,155400,165500,179200,164200,156800,149900,1.51E+05,146300,141400,133200,131900,131200,131500,136400,139900,1.49E+05,143400,136700,134900,129300,135200,126900,138400,132900,140400,129800,135300,128900,130200,121700,135300,145500,1.53E+05,142400,139700,142200,146300,140500,143400,1.40E+05,137800,135600,140700,145700,143800,146100,145600,150700,1.48E+05,143700,137100,137800,147400,154300,157800,162700,165400,164300,159700,161200,158500,165700,166100,172900,182600,178800,1.80E+05,170400,173400,173600,172300,170800,175800,176900,178300,172700,177200,182200,187200,184500,186300,183300,189100,191500,196200,200400,207500,209800,207100,199200,200400,2.04E+05,210700,214500,220900,226300,228200,225900,222900,226100,227600,235100,233300,235800,232100,238500,241800,242300,2.43E+05,240500,250400,249800,257100,256300,255700,252700,246100,249600,256500,2.56E+05,260400,261900,274300,264600,262200,249600,254200,245300
92036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192100,191700,192900,193500,192800,193400,189500,194900,194600,199100,197200,200200,201700,204800,206200,213600,215100,215200,215500,224300,231900,233500,230400,229800,235400,237400,239200,232100,233400,233400,234900,233800,234200,236900,237800,241400,240800,2.39E+05,237700,239600,246900,248400,241100,236400,234200,240100,242300,2.46E+05,251500,255300,257300,256500,255400,256600,259100,258500,258900,258500,260600,259200,258100,257700,260500,258400,266200,262300,262500,257700,255600,267200,265100,268600,265500,263100,272700
84620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344600,347700,361500,360100,346700,348400,344500,3.35E+05,321300,3.30E+05,343800,351300,340300,328900,323900,326600,330400,323100,324500,312100,305900,282400,282400,276100,299800,324300,337400,348200,342800,3.68E+05,372300,401200,385400,3.68E+05,349600,353700,363200,331600,312600,307100,338600,341400,349400,382600,408800,414900,370100,362200,361400,370700,387900,390700,389400,392800,405400,422400,409200,4.16E+05,415700,421900,410500
92271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197800,199400,196400,188500,189200,185300,186600,192300,198600,202700,202200,199500,197400,197500,202100,200900,201900,202600,206100,206200,208800,2.13E+05,219200,220500,217100,213700,215400,221800,226300,221200,222300,218100,221500,228900,226600,229300,224200,225900,218200,216800,225700,229100,230200,227700,241700,239200,240700,233100,238200,234800
92045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173900,182400,189100,192600,194700,193100,191200,192300,192600,193900,192100,194500,195100,196100,1.94E+05,194700,194900,199500,209300,210100,209200,201300,205900,207300,216500,223500,2.31E+05,230200,227100,2.22E+05,222200,221800,222300,227500,232300,236600,234900,232400,237200,238100,243400,245700,251400,255800,263200,261300,262300,256900,257300,255200,251800,250300,251400,252800,253500,253500,257200,257200,250200,251200,2.52E+05,260200,252800,2.53E+05,250900,254900,258200,261600,269400,278700,274700,268100,255800,257200,260200,263200
69816,152300,155100,150900,149400,1.42E+05,142100,146900,149200,143300,141200,142600,152700,148500,151800,149400,153600,148300,147900,149600,151800,151500,1.45E+05,139400,137400,139300,146600,148700,149700,148200,139300,133600,128100,134200,1.37E+05,140600,143600,139900,1.38E+05,132400,134900,136300,134300,131400,134200,131600,133400,132500,133300,128500,130200,139700,141900,1.36E+05,128600,134600,136100,135700,134100,137600,145500,147900,1.47E+05,146800,143400,145800,148200,157300,155300,155400,150100,153600,156800,164900,164500,1.63E+05,156400,158600,161300,165100,162200,161200,164500,165300,164700,160200,161300,163600,166200,166400,163500,163700,165700,163400,166700,168100,169300,166500,173100,175400,178800,172300,175800,174700,1.77E+05,179900,176600,173200,168400,173200,176700,178800,1.79E+05,174900,173400,172700,177500,181300,184100,183500,188400,192400,195800,196700,1.97E+05,196700,192700,1.94E+05,195600,197300,198800,200800,208700,204100,208900,211300,217600,213600
66126,395500,4.00E+05,350800,337300,352500,365300,368800,364100,361100,346400,319200,312900,304100,321400,296700,289800,298800,324900,327400,310700,316200,314900,323800,316300,312100,295600,295100,306300,311700,322500,344500,354800,3.76E+05,354100,362700,3.51E+05,351700,339400,323300,334700,343600,349800,333900,351700,344300,370100,3.31E+05,348900,3.30E+05,355900,348900,373200,3.90E+05,403900,416600,4.13E+05,4.13E+05,393400,3.96E+05,399800,406600,410900,421100,431900,437400,440800,463200,474700,476500,465900,455600,460200,464200,456600,433700,442600,472500,494700,4.96E+05,499900,512800,505700,502100,502300,507200,514400,502600,511600,505800,524100,5.18E+05,522800,527300,5.27E+05,5.33E+05,518200,522100,526200,5.43E+05,532500,528600,524500,537900,563400,562600,570100,529600,578400,584400,610500,567600,569800,576200,5.84E+05,589400,579800,570700,584800,606900,638900,635700,622900,614100,597900,601400,599100,602500,602200,629400,621500,604700,620100,644100,652500,597700,570100,599700
